time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6216898106635628	0.018946060612306678	0.030089982710386654	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12060163710087254	0.9926681407157475	-0.008075118360127365	3.1450649634578496	-1.6157722276926044e-21	-2.8048907682983804e-21	-1.275100029751271e-21	0.005
0.005	0.174184188870586	-0.012664853051314519	-0.15271261333198588	0.6261030015612572	-0.33287309984046604	0.08553401927060066	0.6216867143816549	0.018948724759374824	0.03008951384825745	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12060044871012318	0.9926683062373077	-0.008072518991721556	3.1450765099514717	-0.0007523563064773719	-0.002410704565308393	0.0004996640186102009	0.005006444127715465
0.01	0.17934916176969135	-0.011294214474954383	-0.17294987181522511	0.6206291482975127	-0.34119676071025035	0.08496127083757743	0.6216861442182408	0.018949777284913028	0.03008919468209184	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12059607418105132	0.992668869264585	-0.00806863588772657	3.1450779638072195	-0.002254039422833328	-0.0028690798629983413	0.0022646191985548954	0.005010758782852132
0.015	0.17687932669114478	-0.00207032267101743	-0.15320758073386948	0.6119436902055251	-0.33433779527310364	0.07319895375320996	0.6216855083714142	0.018949677722494805	0.030088956235033187	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12059196014723704	0.9926693906989643	-0.008065972798997874	3.1450801232589196	-0.003253052085381027	-0.0034083174524400474	0.003921471871783348	0.005015372106066597
0.02	0.1710959298201034	-0.002925065307643377	-0.16933046227108767	0.6022688414784402	-0.33431919119919334	0.07206173030905283	0.6216845294539954	0.018947258996921353	0.030088205232422338	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12058622431298667	0.9926700992170832	-0.00806452889413949	3.145083536631001	-0.0037366809866632984	-0.00412978102615137	0.006225619129226864	0.0050209705984990485
0.025	0.17106924935523915	-0.007679842964636214	-0.17729303358867068	0.5994229600381638	-0.3327601850824854	0.07359451478850859	0.621683380611358	0.018942946884722256	0.03008708528980583	0.6216898106635628	0.018946060612306678	0.030089982710386654	-0.12057954780828227	0.9926709131700372	-0.008064167440888729	3.145088156431802	-0.0037618306688457144	-0.005032032846229193	0.00890097033332712	0.005027386542509997
0.030000000000000002	0.16454046464047967	-0.008968721555305923	-0.16325280658707966	0.6022892350491974	-0.33400237123356113	0.06889098997119368	0.6216822866736614	0.018938265809281058	0.030085756833638844	0.6216277366835038	0.01896711382433627	0.030052971064297447	-0.12057249450988351	0.9926717719375935	-0.008063917530751521	3.145092488510942	0.08455208490568954	0.051065984117717005	0.14642353762879973	0.005484336863981726
0.035	0.17709948094959785	-0.016016525462387333	-0.15674706225156412	0.6161258934973651	-0.3328982560113696	0.08566827649522356	0.6216811707877129	0.018932769027499918	0.0300844525333	0.6215863540301312	0.01898114929902268	0.030028296633571205	-0.1205658803961389	0.9926725692563466	-0.00806465934230787	3.1450972221833	0.13572074635143758	0.08307894374359993	0.22618839489858475	0.005802335339453801
0.04	0.16876579596324767	0.002888496617052318	-0.16102233023461293	0.6040812213120414	-0.3248120120922616	0.08414949072174306	0.6216801591696088	0.01892672948109977	0.030083084788274594	0.6215587655945495	0.018990506282146952	0.030011847013087362	-0.12056185902934502	0.9926730399904852	-0.008066834784294865	3.1451018421774433	0.1673985681845449	0.10235698726210754	0.27452717266135	0.00601481164154621
0.045	0.17201486430518106	-0.006692995858097241	-0.16920266297701592	0.5995979306709899	-0.3348209185428048	0.07622193355077923	0.621678928399331	0.018920788816668067	0.030081503012079458	0.6215403733041616	0.01899674427089643	0.030000880599431463	-0.12056244996113333	0.9926729425336666	-0.00806999510043517	3.145106671527358	0.18794712554365425	0.11428336550931258	0.3039256887856785	0.00615450375547228
0.049999999999999996	0.17073028935057885	-0.009989524226214977	-0.173305694964134	0.6170628744256575	-0.3423874522051705	0.06946040082663905	0.6216767477710012	0.0189144824793699	0.030079538693457225	0.6215281117772364	0.019000902930062784	0.029993569656993988	-0.12056600256023847	0.9926724778275516	-0.008074081393793769	3.1451131000000623	0.2018866115561248	0.12153412545422572	0.3218742208924625	0.006245755542581426
0.05499999999999999	0.17220535018976924	-0.00764672136415574	-0.155147896174579	0.5944488158935706	-0.3306038889345823	0.0743879469138814	0.6216699301853077	0.018908867160017596	0.030074801520337258	0.6215199374259529	0.019003675369507037	0.029988695695369216	-0.12057243851480975	0.992671663393734	-0.00807810409127563	3.1451349743580796	0.2118571784186963	0.12361422105152914	0.3325148138925513	0.0063019689984594954
0.05999999999999999	0.1660708898989113	-0.0014508555382465502	-0.17531455235202473	0.5985109678267562	-0.33351553474853673	0.0748348398573639	0.6216578237152834	0.018904532131948076	0.030065029234485452	0.6215144878584306	0.019005523662469843	0.02998544638761905	-0.12058256601960499	0.9926704105574958	-0.008080889538913021	3.145174443624821	0.2191689925627223	0.12121528011280905	0.3380707837715245	0.0063320672496755435
0.06499999999999999	0.17543647465179196	-0.015108400866407645	-0.1912751692353482	0.6160765213534503	-0.3367005337774049	0.07406349167465903	0.6216478309604851	0.01890108369674266	0.03005871297204446	0.6215108548134157	0.01900675585777837	0.02998328018245238	-0.12059443534007025	0.9926689438253058	-0.00808394271141322	3.1452124379564124	0.22476219551310153	0.11792170080543726	0.34037884349286557	0.006347573731105355
0.06999999999999999	0.17378378785612833	-0.012270036904574762	-0.14673446949758112	0.6056580729382314	-0.3177178890677802	0.08502212011036718	0.6216380885224594	0.018899628971000396	0.03005277128797773	0.6215438975470471	0.019059596565465988	0.029943689073018347	-0.1206107173540743	0.9926669508612648	-0.008085760764164222	3.145250509707629	0.18485157915866077	0.11436562238236875	0.46528429108906555	0.006727458735428221
0.075	0.18088180697411058	-0.009134368838079283	-0.1531693751006072	0.6107840326187686	-0.333246536180366	0.0731551755704482	0.6216274624197857	0.018899975627263237	0.030042499286490915	0.6215659260361347	0.019094823703924443	0.02991729500006254	-0.12063249705454794	0.9926643062117976	-0.008085531982203019	3.1452890575248724	0.16011453099910838	0.11001364763771686	0.5366469915029167	0.006996561648919061
0.08	0.18175068807297337	-0.008341083992327601	-0.17716510542099892	0.6019656445342402	-0.3186503731031218	0.08048176226772177	0.621615129502716	0.018901192875445037	0.03002824949910854	0.6215806116955266	0.01911830846289676	0.029899698951425017	-0.12066023400391716	0.9926609475526732	-0.008084004821179007	3.1453289463307588	0.1446486312686613	0.1053536373649042	0.578094164523057	0.007169263477848001
0.085	0.19093304871987105	-0.003981856869765873	-0.1432126835074465	0.600431606371202	-0.33572040402832454	0.07598230788516792	0.621602099292669	0.018903705288771604	0.030011180602474846	0.6215904021351211	0.019133964968878276	0.029887968252333547	-0.12070105692019915	0.9926560085926207	-0.00808105582916909	3.1453664219261865	0.1347741365238023	0.10105690318868968	0.6001526621924231	0.007263983018391259
0.09000000000000001	0.1841386607946219	-0.012865568488448888	-0.17510342754564287	0.6149368620731774	-0.3416786996114068	0.08220865390852782	0.621588939706251	0.01890598447074407	0.02999161055377514	0.6215969290948508	0.01914440263953261	0.02988014778627246	-0.12074943194572445	0.9926501564684364	-0.008077224026469994	3.1454031309476624	0.1283841779304651	0.09683413529539803	0.6104794665259545	0.007306218903703164
0.09500000000000001	0.17746725425110846	-0.015036130727498147	-0.15107986714091998	0.5948564379081809	-0.3337483313264486	0.07566218234363647	0.6215733715909969	0.018907083895977936	0.02996952368983319	0.6216012804013371	0.019151361086635496	0.029874934142231524	-0.12080924723463289	0.992642906967646	-0.00807372463134529	3.1454479409265317	0.12471754486911385	0.09155263553562587	0.6120840712539988	0.007306382669751845
0.10000000000000002	0.17845658857350488	-0.008239682531496512	-0.1709634639549836	0.6067142970427997	-0.3187533654961646	0.08708233468809867	0.621555135779073	0.0189079141728274	0.029945328087058576	0.621198784538363	0.019285285364205033	0.029601250656556007	-0.12088893257478146	0.9926332319869935	-0.008070485486372169	3.145501237833066	-0.00024968639002372387	-0.03377196956996322	0.5718143862995267	0.007006775991631844
0.10500000000000002	0.17088979494213122	-0.00552078893887376	-0.18951963770313815	0.6290374025165092	-0.34139576413341616	0.06829045872626716	0.6215361661484881	0.01890782024305101	0.02991900651942081	0.6209304539630469	0.01937456821591802	0.029418794999439207	-0.1209912193808968	0.9926207931416516	-0.008067580527167486	3.145556877648942	-0.08864757844154879	-0.12530454777652583	0.5232938790132852	0.00687445676539822
0.11000000000000003	0.17059356499415834	-0.00967542329768735	-0.16935801907377887	0.6135263329688915	-0.33602789728698995	0.068989054382773	0.6215167353678852	0.018907374528132515	0.029888450534296757	0.6207515669128361	0.019434090117059998	0.029297157894694465	-0.12111272640165625	0.9926060051542408	-0.008063872227217118	3.1456120360338513	-0.1492193967159044	-0.19057169262855556	0.4726248779780311	0.006807336632422021
0.11500000000000003	0.16718026869110839	-0.014358093112334843	-0.16107585268607558	0.6110368821492344	-0.34521487419129304	0.0771107429832739	0.6214950082390547	0.01890491155912751	0.02985403012772822	0.6206323088793622	0.019473771384487994	0.029216066491531616	-0.12124766042211044	0.9925895528498799	-0.008061291177002829	3.1456728256898128	-0.1899082415582687	-0.23854094880551371	0.4223561706554976	0.006760929942817179
