time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62158142930102	0.019088695038404595	0.029947205911385028	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12066635162048983	0.9926608668575775	-0.008002186961276699	3.145136205598511	2.8315159415752375e-22	7.513652839326902e-22	-1.2708999462681297e-23	0.005
0.005	0.16154737538196906	0.005530776624989405	-0.15291704712399345	0.6165785079004742	-0.31539513006699954	0.08352660825895682	0.6215619120037511	0.01910609975466489	0.029923071605840318	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12068122416181334	0.992659097994337	-0.007997331047021702	3.145181058033119	-0.0008459119624964904	-0.009137819115701004	-0.005883253073433747	0.00502740137981837
0.01	0.19513490125271757	0.011778014135021782	-0.1776403909648011	0.6076468157049001	-0.3293720966323451	0.07423355258714436	0.6215674045034267	0.019108110562520247	0.02991748910491182	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12067704480809258	0.9926596057907708	-0.007997367547969434	3.145167705240685	-0.0011524294114908448	-0.006495871063544347	-0.004236240820563287	0.005019677850832383
0.015	0.17969579456502754	-0.00747382405363098	-0.17293619549029868	0.6207767651252568	-0.3202233032196545	0.08590816868444476	0.6215584465678221	0.019122649870231104	0.029900450342356194	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12068870424568938	0.9926582337824051	-0.007991718932270958	3.1451808231752594	-0.003066647133531153	-0.009374131384558866	-0.008864505106705603	0.005033374130428016
0.02	0.18279951445556852	-0.010800840365951775	-0.17492690227405733	0.620360035516197	-0.32044877094905233	0.0860136377360275	0.6215433330905112	0.019147572191599235	0.02987489716248623	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12070868481103178	0.9926558808918041	-0.007982201582726367	3.145205531229614	-0.00620391136244219	-0.014695218117492654	-0.016728900848803623	0.005058462620379279
0.025	0.1780535296436744	-0.008701457686680342	-0.17943679348605204	0.5934053708194804	-0.332208512179116	0.0709122828523606	0.6215348376987623	0.019163501748517914	0.029854021938151898	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12071962120708647	0.9926545983157774	-0.00797630855473599	3.145217766369023	-0.008206265672001915	-0.017365778756549665	-0.02100191943175955	0.005072177999360424
0.030000000000000002	0.17900239703313733	-0.005011665529566981	-0.1670852187657867	0.6215860945471674	-0.3282957087391996	0.08029038212654474	0.62153133502371	0.019171740263084342	0.02983669880451645	0.62158142930102	0.019088695038404595	0.029947205911385028	-0.12072394372824924	0.99265411546573	-0.007970976078735453	3.1452173846809037	-0.010293534147949776	-0.01754086403487869	-0.02269049522617488	0.005077356628202308
0.035	0.1673826793723781	0.007822990374509991	-0.16923495682844011	0.599919101492484	-0.3273783152496965	0.0814858605509007	0.6215271395491246	0.019177700148611015	0.029816585892848024	0.621493299576245	0.01911967526210572	0.029966619995683296	-0.12072629130247675	0.9926538901341768	-0.007963478500954625	3.1452158992481007	0.022183835388701532	0.050374836828733116	-0.05523783833453978	0.005202860732224606
0.04	0.17707121181639177	-0.004547209478383845	-0.1732496172833701	0.5864476707703912	-0.32167733486524097	0.07888530827713335	0.6215184281769623	0.019185371178276615	0.02978931337972479	0.621434546426395	0.019140328744573165	0.029979562718548812	-0.12072903219784854	0.9926536398332142	-0.007953119541540073	3.1452234109904516	0.040788514972219345	0.09118896636928893	-0.07581846724399205	0.005334498287195991
0.045	0.18404014651661635	-0.0032972413216150903	-0.1752586949164275	0.6097135056627306	-0.3300327707949158	0.07927161599774442	0.6215049894070565	0.01919406963088116	0.029756742050924018	0.6213953776598282	0.019154097732884783	0.029988191200459046	-0.12073254560677729	0.9926533073030182	-0.007941280229736879	3.1452432734099376	0.05125656772879914	0.11445250911475532	-0.0896601729260389	0.005417589530183601
0.049999999999999996	0.18627219802859293	-0.007083619842744679	-0.16693319412423682	0.6071205923840703	-0.32022817694425676	0.08862366590913105	0.6214880708033089	0.019201111140906252	0.029722087531348335	0.6213692651487838	0.019163277058425847	0.029993943521732326	-0.12073523778518207	0.992653068996114	-0.00793013048768734	3.1452775708818392	0.0574289206996039	0.12580019058839048	-0.09890246503449407	0.0054645282683517095
0.05499999999999999	0.18137814550392514	-0.011240568050983956	-0.20330311467227488	0.615983211792801	-0.34143304150789205	0.08141448107735719	0.6214696125442737	0.019205561225416005	0.029687096705945187	0.6213518568080875	0.019169396608786582	0.02999777840258139	-0.12073650886751923	0.9926529873497415	-0.007920993126966371	3.1453235363057024	0.06147673563456702	0.12922404367757134	-0.10492209820793837	0.005486803585431495
0.05999999999999999	0.17938663562158336	0.001614244261126642	-0.17924309069482905	0.6094166446666924	-0.3305519479148436	0.0833777275469467	0.6214513919927083	0.01920919072143459	0.0296530909461388	0.6211143780270887	0.01933260651899525	0.029983191558650556	-0.12073735858358958	0.992652945737308	-0.007913252258264156	3.145375181743141	0.43907013241245185	0.3205595180173913	0.13185369143672304	0.006941539892616901
0.06499999999999999	0.18617037493431896	-0.007140199537785875	-0.16715497224245435	0.6071414023844295	-0.3203930885867798	0.08019586894280811	0.6214317889175082	0.019213765931094095	0.029617766884547925	0.6209560588397562	0.019441413125800975	0.029973466996029995	-0.12073903681001943	0.9926528059617372	-0.007905175929648615	3.1454318085105872	0.6018168491806882	0.3985643495413759	0.23655388596272273	0.008061921157058713
0.06999999999999999	0.17368455889065265	-0.003675045020470826	-0.18137297636653849	0.6083406144715418	-0.32741243264171066	0.07477704265364074	0.6214082041447184	0.019221500066459445	0.029579016705993	0.620850512714868	0.019513950863671487	0.029966983954282746	-0.12074333668390622	0.9926523603856479	-0.007895445980997185	3.145497137355989	0.6869776605237063	0.4364764441412986	0.2909526781265945	0.00880553574818392
0.075	0.175650931914183	-0.011272654796676471	-0.19124117238584898	0.6106176960063731	-0.32109682541699025	0.07905057017504352	0.6213796165640243	0.01923403484054266	0.02953615701763737	0.6207801486316091	0.019562309355585214	0.029962661926450928	-0.12075183964195008	0.9926514224517418	-0.0078833195811588	3.1455722008544558	0.7362992838553234	0.455426174995081	0.3215756381419329	0.009289865349988321
0.08	0.17069754800951395	-0.0074906691940638155	-0.17340841663703863	0.5855975419288706	-0.33344617202055193	0.07308317048886939	0.6213491303691691	0.019247076992068	0.029492153437218893	0.6207332392427697	0.019594548350194363	0.029959780574563367	-0.12076095191377963	0.992650407058178	-0.0078715856160934	3.1456515540382535	0.766788191336	0.4643308705562472	0.33989986472406397	0.009603346452860703
0.085	0.17242222504190513	-0.012156733554152286	-0.1669840300804001	0.6037806523142547	-0.3201564108800026	0.083757420169249	0.6213187881622011	0.019259954501882486	0.02945004476663654	0.6207019663168769	0.01961604101326713	0.029957859673304995	-0.12076845222026038	0.9926495895878152	-0.007859595375394931	3.145729473276476	0.7861806857825523	0.46772022251674494	0.35148812278015557	0.00980385229103985
0.09000000000000001	0.1742489307013055	-0.010571358569212541	-0.17130314337002914	0.6079691891857859	-0.32097037333010975	0.07277584468838577	0.6212858629582276	0.019273679920240008	0.02940589995120027	0.6206811176996151	0.019630369455315617	0.029956579072465656	-0.12077415020783626	0.9926490086167556	-0.007845402076844536	3.1458129481926638	0.7987233773014834	0.46712712778018134	0.3592326068700345	0.009926344904666654
0.09500000000000001	0.17823041470716233	-0.0033853668229274266	-0.1612727354012053	0.6038197291714851	-0.31659746156238044	0.0767093280672665	0.6212491562935313	0.01928742593230175	0.029359107642474014	0.6203185314495044	0.019750474174490815	0.029884540362812545	-0.12078200873957534	0.992648160301442	-0.0078317440583808	3.1459029888335572	1.6151545628859636	0.7005424424484807	0.9489354796035198	0.006122090476563838
0.10000000000000002	0.16936296610419152	-0.009219865055278184	-0.1751091860119079	0.610068688527676	-0.3334108330704318	0.08395851825396992	0.6212076206310713	0.019300303022139306	0.02930895366406394	0.6200768072827639	0.019830543987274307	0.02983651455637735	-0.1207932725015587	0.9926468860445669	-0.007819523283980879	3.146001775235089	1.6046979837578055	0.5759508730712137	1.0455507243755269	0.006975362120470961
0.10500000000000002	0.17282856084933484	-0.009320511658832074	-0.18918724815950294	0.6124450053571985	-0.33251908406489306	0.08572891082164656	0.6211630358050516	0.019315187021215954	0.029257987624982135	0.6199156578382703	0.019883923862463324	0.029804497352087324	-0.12080757713959164	0.9926452568788894	-0.007805338013545123	3.1461050777061454	1.5963671477468733	0.5028802729731509	1.0948362086034116	0.007552300034114111
0.11000000000000003	0.171559482462208	-0.005298194637199585	-0.17539308126572634	0.6004800433877234	-0.33036877506525186	0.07692732422203909	0.6211118799952423	0.019334002028367596	0.029202722012523413	0.6198082248752745	0.019919510445922647	0.02978315254922752	-0.12082803612330768	0.992642901299422	-0.007788208166870387	3.146221540970834	1.5919700651219546	0.454343899489579	1.1221141069290095	0.007928689102246296
0.11500000000000003	0.16827213912951774	-0.005186174578200581	-0.16734048685545488	0.6082558859680594	-0.32457355661833853	0.07505286165985656	0.621058147676681	0.019353809710988358	0.02914787616535655	0.6197366028999441	0.019943234834895567	0.02976892268065421	-0.12084653327051213	0.9926407967112713	-0.007769433757462622	3.1463399541290262	1.589626037633783	0.41969716749413755	1.1388048867800336	0.008171797948791245
0.12000000000000004	0.17758388184413476	-0.00021750031069387582	-0.1814968456524334	0.6251247257798461	-0.3330504851005242	0.07714742434441722	0.6210030907322724	0.019374998671685344	0.02909231208912505	0.6196888549163905	0.01995905109421082	0.02975943610160523	-0.12086260362593751	0.9926390077698412	-0.007747986736266383	3.146460011732921	1.588496469152879	0.39301850989947323	1.1498461323856217	0.008324098205614108
